Duty cycle	MeasGND	IGNORE GAIN=2//3 fq=1000 ch=0 NO_REF_VOLTAGE
0	-7	-28	
1	-25	-30	
2	-28	-28	
3	-28	-28	
4	-28	-29	
5	-28	-28	
6	-27	-28	3152
7	-28	-28	3124
8	-30	-28	3097
9	-26	-31	3099
10	-24	-29	3107
11	-16	-30	3124
12	-6	-31	3153
13	2	-31	3183
14	7	-30	3174
15	16	-30	3159
16	21	-29	3150
17	26	-31	3140
18	28	-29	3119
19	31	-29	3136
20	36	-29	3125
21	39	-28	3106
22	43	-30	3095
23	46	-31	3100
24	48	-30	3095
25	52	-31	3105
26	55	-32	3119
27	61	-32	3144
28	62	-33	3164
29	63	-32	3183
30	67	-31	3184
31	69	-31	3169
32	73	-31	3155
33	73	-31	3133
34	78	-31	3114
35	80	-32	3096
36	83	-32	3107
37	87	-33	3121
38	91	-34	3143
39	93	-35	3174
40	96	-35	3181
41	96	-33	3174
42	101	-34	3160
43	101	-33	3145
44	103	-33	3125
45	106	-32	3101
46	111	-34	3090
47	113	-34	3103
48	115	-36	3114
49	119	-34	3134
50	121	-35	3157
51	125	-36	3180
52	126	-34	3169
53	129	-34	3148
54	131	-35	3133
55	134	-34	3096
56	141	-38	3095
57	141	-36	3097
58	144	-36	3102
59	149	-37	3116
60	153	-38	3137
61	154	-36	3092
62	157	-36	3101
63	160	-35	3109
64	164	-38	3127
65	168	-38	3163
66	171	-38	3175
67	174	-38	3184
68	176	-37	3169
69	181	-38	3155
70	184	-38	3150
71	186	-38	3144
72	188	-36	3134
73	192	-37	3114
74	195	-37	3100
75	200	-38	3094
76	204	-39	3098
77	207	-38	3091
78	210	-40	3096
79	212	-40	3092
80	217	-40	3099
81	219	-38	3097
82	223	-39	3105
83	226	-39	3107
84	229	-38	3109
85	234	-40	3115
86	237	-40	3114
87	240	-40	3118
88	245	-41	3125
89	247	-39	3123
90	253	-42	3133
91	257	-42	3137
92	261	-41	3153
93	264	-42	3155
94	268	-42	3160
95	277	-43	3172
96	292	-42	3188
97	294	-42	3188
98	294	-42	3184
100	293	-43	3174
