Duty cycle	V	GND	2.048 REFGain = 4.096
0	1.695375	-2	16410
1	0.069625	-2	16410
2	-0.00025	-2	16410
3	-0.00425	-1	16410
4	-0.004875	-2	16410
5	-0.005125	-2	16410
6	-0.005125	-2	16410
7	-0.001	-2	16410
8	0.096375	-2	16410
9	0.324625	-2	16410
10	0.531875	-2	16410
11	0.6795	-2	16411
12	0.80575	-2	16410
13	0.912875	-2	16410
14	1.072	-2	16410
15	1.083625	-2	16410
16	1.151875	-2	16410
17	1.222	-2	16410
18	1.268375	-2	16410
19	1.321875	-2	16410
20	1.37025	-2	16410
21	1.41775	-2	16410
22	1.462875	-2	16410
23	1.507875	-2	16410
24	1.551625	-2	16410
25	1.593	-1	16410
26	1.636	-2	16410
27	1.677625	-2	16410
28	1.718	-2	16410
29	1.758375	-2	16410
30	1.796625	-2	16410
31	1.832625	-2	16410
32	1.8785	-2	16410
33	1.91325	-2	16410
34	1.95	-2	16410
35	2.05725	-2	16410
36	2.074375	-2	16410
37	2.099375	-2	16410
38	2.115125	-2	16411
39	2.154	-2	16410
40	2.19	-2	16410
41	2.20225	-2	16410
42	2.259375	-2	16410
43	2.300875	-2	16410
44	2.32875	-2	16410
45	2.357875	-2	16410
46	2.39175	-2	16410
47	2.406875	-2	16410
48	2.458875	-2	16410
49	2.494	-1	16410
50	2.525625	-2	16410
51	2.54175	-2	16410
52	2.599125	-2	16410
53	2.61525	-2	16410
54	2.651375	-2	16410
55	2.67975	-2	16410
56	2.726625	-2	16410
57	2.749	-2	16410
58	2.787625	-2	16410
59	2.833875	-2	16410
60	2.833625	-1	16410
61	2.889125	-2	16410
62	2.921	-2	16410
63	2.968125	-2	16410
64	2.991125	-2	16410
65	3.029125	-2	16410
66	3.056	-2	16410
67	3.089	-2	16410
68	3.119875	-2	16410
69	3.149625	-2	16410
70	3.184	-2	16410
71	3.20575	-2	16410
72	3.24725	-2	16410
73	3.277875	-2	16410
74	3.3015	-2	16410
75	3.342125	-2	16410
76	3.35775	-2	16410
77	3.38825	-2	16410
78	3.4275	-2	16410
79	3.4575	-2	16410
80	3.482	-2	16410
81	3.514	-2	16410
82	3.544125	-2	16410
83	3.5705	-2	16410
84	3.590375	-1	16410
85	3.630375	-2	16410
86	3.656875	-2	16410
87	3.696625	-2	16411
88	3.72925	-2	16410
89	3.74225	-2	16410
90	3.77	-2	16410
91	3.818	-2	16410
92	3.8465	-2	16410
93	3.87675	-2	16410
94	3.90775	-1	16410
95	3.963875	-2	16410
96	4.02275	-2	16410
97	4.02325	-2	16410
98	4.02325	-2	16410
100	4.02275	-2	16410
